('Total Revenue', '245,122,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         752140 function calls (734066 primitive calls) in 6.704 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    5.001    5.001    5.001    5.001 {built-in method time.sleep}
      311    1.059    0.003    1.059    0.003 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.077    0.077    0.077    0.077 {method 'connect' of '_socket.socket' objects}
        1    0.058    0.058    0.058    0.058 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.037    0.037    0.037    0.037 {built-in method _socket.getaddrinfo}
        1    0.022    0.022    0.022    0.022 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
     2991    0.020    0.000    0.107    0.000 parser.py:301(parse_starttag)
 3213/196    0.020    0.000    0.063    0.000 _parser.py:512(_parse)
    27156    0.020    0.000    0.020    0.000 {method 'match' of 're.Pattern' objects}
      160    0.017    0.000    0.017    0.000 {built-in method marshal.loads}
        2    0.015    0.008    0.178    0.089 parser.py:134(goahead)
 3970/188    0.011    0.000    0.029    0.000 _compiler.py:37(_compile)
    72316    0.009    0.000    0.009    0.000 {method 'append' of 'list' objects}
     2873    0.009    0.000    0.013    0.000 __init__.py:295(_replace_cdata_list_attribute_values)
75640/75636    0.008    0.000    0.010    0.000 {built-in method builtins.isinstance}
     2991    0.008    0.000    0.044    0.000 __init__.py:722(handle_starttag)
       40    0.008    0.000    0.008    0.000 {method 'decompress' of 'zlib.Decompress' objects}
     8408    0.007    0.000    0.007    0.000 element.py:156(setup)
56729/51964    0.006    0.000    0.007    0.000 {built-in method builtins.len}
      895    0.006    0.000    0.009    0.000 _compiler.py:243(_optimize_charset)
     2992    0.006    0.000    0.021    0.000 element.py:1199(__init__)
  512/508    0.006    0.000    0.078    0.000 {built-in method builtins.__build_class__}
    23193    0.006    0.000    0.008    0.000 _parser.py:168(__getitem__)
     6224    0.006    0.000    0.023    0.000 __init__.py:586(endData)
    14817    0.005    0.000    0.009    0.000 _parser.py:261(get)
     2991    0.005    0.000    0.051    0.000 _htmlparser.py:105(handle_starttag)
     2852    0.005    0.000    0.036    0.000 parser.py:379(parse_endtag)
    22023    0.005    0.000    0.005    0.000 _parser.py:240(__next)
     2990    0.005    0.000    0.010    0.000 __init__.py:688(_popToTag)
    21254    0.005    0.000    0.005    0.000 {method 'get' of 'dict' objects}
 1205/188    0.005    0.000    0.064    0.000 _parser.py:452(_parse_sub)
 3976/367    0.005    0.000    0.007    0.000 _parser.py:178(getwidth)
     9013    0.004    0.000    0.004    0.000 {method 'search' of 're.Pattern' objects}
3383/3357    0.004    0.000    0.005    0.000 {built-in method __new__ of type object at 0xa43b40}
      842    0.004    0.000    0.004    0.000 {built-in method posix.stat}
    11955    0.004    0.000    0.007    0.000 _markupbase.py:44(updatepos)
     2992    0.004    0.000    0.005    0.000 __init__.py:572(pushTag)
    15199    0.004    0.000    0.004    0.000 {method 'group' of 're.Match' objects}
     5724    0.004    0.000    0.017    0.000 element.py:2303(search)
     5787    0.004    0.000    0.005    0.000 _parser.py:176(append)
        1    0.003    0.003    0.003    0.003 models.py:909(text)
     3004    0.003    0.000    0.011    0.000 element.py:2240(search_tag)
        1    0.003    0.003    0.026    0.026 dammit.py:70(_populate_class_variables)
     2991    0.003    0.000    0.010    0.000 parser.py:345(check_for_whole_start_tag)
    15929    0.003    0.000    0.003    0.000 {method 'lower' of 'str' objects}
      160    0.003    0.000    0.003    0.000 {built-in method _io.open_code}
      9/7    0.003    0.000    0.004    0.001 {built-in method _imp.create_dynamic}
     2708    0.003    0.000    0.009    0.000 __init__.py:620(object_was_parsed)
    16152    0.003    0.000    0.003    0.000 {method 'end' of 're.Match' objects}
    11421    0.003    0.000    0.004    0.000 _parser.py:256(match)
     2991    0.003    0.000    0.027    0.000 _htmlparser.py:160(handle_endtag)
     8579    0.003    0.000    0.003    0.000 {method 'count' of 'str' objects}
      407    0.003    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
    14049    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
      221    0.002    0.000    0.353    0.002 {method 'read' of '_io.BufferedReader' objects}
     2990    0.002    0.000    0.024    0.000 __init__.py:763(handle_endtag)
     2991    0.002    0.000    0.003    0.000 __init__.py:558(popTag)
        4    0.002    0.001    0.022    0.005 element.py:792(_find_all)
      160    0.002    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
      472    0.002    0.000    0.003    0.000 css_types.py:41(__init__)
