('Total Revenue', '245,122,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         752101 function calls (734045 primitive calls) in 1.731 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      318    1.031    0.003    1.031    0.003 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.067    0.067    0.067    0.067 {method 'connect' of '_socket.socket' objects}
        1    0.059    0.059    0.059    0.059 {method 'do_handshake' of '_ssl._SSLSocket' objects}
    27156    0.039    0.000    0.039    0.000 {method 'match' of 're.Pattern' objects}
     2991    0.027    0.000    0.183    0.000 parser.py:301(parse_starttag)
 3213/196    0.022    0.000    0.066    0.000 _parser.py:512(_parse)
        1    0.022    0.022    0.022    0.022 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
     8408    0.021    0.000    0.021    0.000 element.py:156(setup)
        2    0.018    0.009    0.260    0.130 parser.py:134(goahead)
      160    0.017    0.000    0.017    0.000 {built-in method marshal.loads}
        4    0.014    0.003    0.035    0.009 element.py:792(_find_all)
     2873    0.013    0.000    0.019    0.000 __init__.py:295(_replace_cdata_list_attribute_values)
     2991    0.013    0.000    0.092    0.000 _htmlparser.py:105(handle_starttag)
 3970/188    0.013    0.000    0.032    0.000 _compiler.py:37(_compile)
     2991    0.013    0.000    0.019    0.000 parser.py:345(check_for_whole_start_tag)
     2992    0.010    0.000    0.048    0.000 element.py:1199(__init__)
    72298    0.009    0.000    0.009    0.000 {method 'append' of 'list' objects}
     2991    0.009    0.000    0.075    0.000 __init__.py:722(handle_starttag)
75622/75618    0.009    0.000    0.010    0.000 {built-in method builtins.isinstance}
     6224    0.008    0.000    0.027    0.000 __init__.py:586(endData)
       40    0.008    0.000    0.008    0.000 {method 'decompress' of 'zlib.Decompress' objects}
  512/508    0.007    0.000    0.082    0.000 {built-in method builtins.__build_class__}
    23175    0.007    0.000    0.009    0.000 _parser.py:168(__getitem__)
     9013    0.006    0.000    0.006    0.000 {method 'search' of 're.Pattern' objects}
56693/51946    0.006    0.000    0.007    0.000 {built-in method builtins.len}
     5787    0.006    0.000    0.007    0.000 _parser.py:176(append)
     2852    0.006    0.000    0.037    0.000 parser.py:379(parse_endtag)
      895    0.006    0.000    0.009    0.000 _compiler.py:243(_optimize_charset)
    15199    0.005    0.000    0.005    0.000 {method 'group' of 're.Match' objects}
 1205/188    0.005    0.000    0.067    0.000 _parser.py:452(_parse_sub)
