('Total Revenue', '245,122,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         760919 function calls (744248 primitive calls) in 1.596 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      115    1.051    0.009    1.058    0.009 {method 'poll' of 'select.epoll' objects}
        2    0.042    0.021    0.042    0.021 {method 'set_default_verify_paths' of '_ssl._SSLContext' objects}
        1    0.022    0.022    0.026    0.026 {built-in method _socket.getaddrinfo}
      192    0.020    0.000    0.020    0.000 {built-in method marshal.loads}
     2997    0.020    0.000    0.093    0.000 parser.py:301(parse_starttag)
    27300    0.017    0.000    0.017    0.000 {method 'match' of 're.Pattern' objects}
 2958/193    0.017    0.000    0.052    0.000 _parser.py:512(_parse)
      229    0.016    0.000    0.016    0.000 {built-in method builtins.compile}
        2    0.013    0.006    0.152    0.076 parser.py:134(goahead)
 3462/174    0.011    0.000    0.026    0.000 _compiler.py:37(_compile)
       66    0.009    0.000    0.009    0.000 {method 'decompress' of 'zlib.Decompress' objects}
79267/79265    0.009    0.000    0.010    0.000 {built-in method builtins.isinstance}
  680/679    0.008    0.000    0.096    0.000 {built-in method builtins.__build_class__}
    67747    0.008    0.000    0.008    0.000 {method 'append' of 'list' objects}
     2879    0.007    0.000    0.011    0.000 __init__.py:295(_replace_cdata_list_attribute_values)
     2997    0.007    0.000    0.038    0.000 __init__.py:722(handle_starttag)
      981    0.006    0.000    0.006    0.000 {built-in method posix.stat}
52494/48403    0.006    0.000    0.007    0.000 {built-in method builtins.len}
3745/3650    0.005    0.000    0.007    0.000 {built-in method __new__ of type object at 0xa43b40}
      612    0.005    0.000    0.007    0.000 _compiler.py:243(_optimize_charset)
     6236    0.005    0.000    0.020    0.000 __init__.py:586(endData)
    19/17    0.005    0.000    0.006    0.000 {built-in method _imp.create_dynamic}
     2998    0.005    0.000    0.018    0.000 element.py:1199(__init__)
     2858    0.005    0.000    0.029    0.000 parser.py:379(parse_endtag)
     8414    0.005    0.000    0.005    0.000 element.py:156(setup)
     2997    0.005    0.000    0.045    0.000 _htmlparser.py:105(handle_starttag)
    19278    0.005    0.000    0.007    0.000 _parser.py:168(__getitem__)
 1022/174    0.004    0.000    0.052    0.000 _parser.py:452(_parse_sub)
     5112    0.004    0.000    0.005    0.000 _parser.py:176(append)
     8999    0.004    0.000    0.004    0.000 {method 'search' of 're.Pattern' objects}
    15283    0.004    0.000    0.004    0.000 {method 'group' of 're.Match' objects}
    11296    0.004    0.000    0.006    0.000 _parser.py:261(get)
        1    0.004    0.004    0.026    0.026 dammit.py:70(_populate_class_variables)
    21493    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
    11979    0.003    0.000    0.006    0.000 _markupbase.py:44(updatepos)
     2708    0.003    0.000    0.007    0.000 __init__.py:620(object_was_parsed)
     2996    0.003    0.000    0.007    0.000 __init__.py:688(_popToTag)
 3458/344    0.003    0.000    0.005    0.000 _parser.py:178(getwidth)
        3    0.003    0.001    0.003    0.001 {function socket.close at 0x7520779a4c20}
      192    0.003    0.000    0.003    0.000 {built-in method _io.open_code}
      192    0.003    0.000    0.003    0.000 {method 'read' of '_io.BufferedReader' objects}
     5730    0.003    0.000    0.014    0.000 element.py:2303(search)
    17168    0.003    0.000    0.003    0.000 _parser.py:240(__next)
      472    0.003    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
     2998    0.003    0.000    0.003    0.000 __init__.py:572(pushTag)
     3010    0.003    0.000    0.009    0.000 element.py:2240(search_tag)
     2997    0.003    0.000    0.021    0.000 _htmlparser.py:160(handle_endtag)
    15427    0.003    0.000    0.003    0.000 {method 'lower' of 'str' objects}
    14843    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
     8587    0.003    0.000    0.003    0.000 {method 'count' of 'str' objects}
        2    0.003    0.001    0.003    0.001 {method 'decode' of 'bytes' objects}
        6    0.002    0.000    0.002    0.000 {method 'send' of '_socket.socket' objects}
      192    0.002    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
        3    0.002    0.001    0.002    0.001 {method 'do_handshake' of '_ssl._SSLSocket' objects}
       19    0.002    0.000    0.003    0.000 {built-in method _imp.exec_dynamic}
      373    0.002    0.000    0.002    0.000 {method 'read' of '_ssl._SSLSocket' objects}
        4    0.002    0.001    0.018    0.005 element.py:792(_find_all)
    16221    0.002    0.000    0.002    0.000 {method 'end' of 're.Match' objects}
     2997    0.002    0.000    0.002    0.000 __init__.py:558(popTag)
     2708    0.002    0.000    0.006    0.000 element.py:943(__new__)
     2997    0.002    0.000    0.007    0.000 parser.py:345(check_for_whole_start_tag)
      393    0.002    0.000    0.090    0.000 __init__.py:280(_compile)
     2996    0.002    0.000    0.018    0.000 __init__.py:763(handle_endtag)
      472    0.002    0.000    0.003    0.000 css_types.py:41(__init__)
      203    0.002    0.000    0.003    0.000 {built-in method builtins.eval}
       20    0.002    0.000    0.004    0.000 enum.py:1708(convert_class)
     2004    0.002    0.000    0.003    0.000 __init__.py:91(_replace_charref)
    11188    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
2001/1910    0.002    0.000    0.005    0.000 element.py:2336(_matches)
      251    0.002    0.000    0.019    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
     8562    0.002    0.000    0.002    0.000 _parser.py:256(match)
     2498    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     8952    0.002    0.000    0.002    0.000 {built-in method builtins.min}
       61    0.002    0.000    0.002    0.000 {method 'recv_into' of '_socket.socket' objects}
      192    0.002    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
       95    0.002    0.000    0.002    0.000 {method 'join' of 'bytes' objects}
     1954    0.002    0.000    0.003    0.000 typing.py:1188(__setattr__)
     2324    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
      419    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap>:304(acquire)
     7059    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     7965    0.001    0.000    0.002    0.000 _parser.py:164(__len__)
      741    0.001    0.000    0.004    0.000 {method 'sub' of 're.Pattern' objects}
     1470    0.001    0.000    0.002    0.000 __init__.py:648(_linkage_fixer)
       37    0.001    0.000    0.002    0.000 _make.py:741(_create_slots_class)
      718    0.001    0.000    0.003    0.000 typing.py:175(_type_check)
      322    0.001    0.000    0.002    0.000 _make.py:1062(_add_method_dunders)
     5984    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
    252/5    0.001    0.000    0.313    0.063 <frozen importlib._bootstrap>:1349(_find_and_load)
     6606    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     3162    0.001    0.000    0.001    0.000 _parser.py:293(tell)
    194/1    0.001    0.000    1.596    1.596 {built-in method builtins.exec}
      419    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:124(setdefault)
     6059    0.001    0.000    0.005    0.000 {built-in method builtins.next}
     1082    0.001    0.000    0.002    0.000 _parser.py:312(_class_escape)
      310    0.001    0.000    0.006    0.000 typing.py:1242(__init__)
      2/1    0.001    0.001    0.002    0.002 threading.py:1016(_bootstrap)
        1    0.001    0.001    0.003    0.003 events.py:1(<module>)
      192    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
     2611    0.001    0.000    0.002    0.000 _htmlparser.py:178(handle_data)
     7265    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      325    0.001    0.000    0.004    0.000 css_parser.py:1094(selector_iter)
     6411    0.001    0.000    0.005    0.000 __init__.py:122(unescape)
       62    0.001    0.000    0.003    0.000 <frozen abc>:105(__new__)
      419    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      231    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
 1018/945    0.001    0.000    0.014    0.000 typing.py:392(inner)
       13    0.001    0.000    0.004    0.000 enum.py:919(_convert_)
      384    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
     2708    0.001    0.000    0.001    0.000 __init__.py:523(string_container)
     6123    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
      115    0.001    0.000    1.059    0.009 selectors.py:451(select)
     2732    0.001    0.000    0.001    0.000 __init__.py:773(handle_data)
     2997    0.001    0.000    0.001    0.000 element.py:1371(is_empty_element)
      115    0.001    0.000    2.577    0.022 base_events.py:1910(_run_once)
      192    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
       16    0.001    0.000    0.002    0.000 __init__.py:355(namedtuple)
      140    0.001    0.000    0.005    0.000 typing.py:687(Union)
       93    0.001    0.000    0.001    0.000 enum.py:254(__set_name__)
       20    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
    252/5    0.001    0.000    0.313    0.063 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     4034    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
       38    0.001    0.000    0.008    0.000 _make.py:372(_transform_attrs)
   546/10    0.001    0.000    0.308    0.031 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
    231/5    0.001    0.000    0.312    0.062 <frozen importlib._bootstrap>:911(_load_unlocked)
     6076    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     2867    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      419    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
      117    0.001    0.000    0.001    0.000 _compiler.py:467(_get_charset_prefix)
     2106    0.001    0.000    0.001    0.000 typing.py:1134(_is_dunder)
     5740    0.001    0.000    0.001    0.000 element.py:2062(descendants)
      231    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
      348    0.001    0.000    0.002    0.000 enum.py:1562(__and__)
     3976    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
       62    0.001    0.000    0.014    0.000 sslproto.py:775(_do_read__copied)
       57    0.001    0.000    0.011    0.000 client_proto.py:239(data_received)
