('Total Revenue', '245,122,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         759778 function calls (743103 primitive calls) in 1.567 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
79271/79269    0.010    0.000    0.011    0.000 {built-in method builtins.isinstance}
    67728    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
52333/48238    0.005    0.000    0.006    0.000 {built-in method builtins.len}
    27300    0.021    0.000    0.021    0.000 {method 'match' of 're.Pattern' objects}
    21493    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
    19282    0.004    0.000    0.006    0.000 _parser.py:168(__getitem__)
    17168    0.003    0.000    0.003    0.000 _parser.py:240(__next)
    16221    0.002    0.000    0.002    0.000 {method 'end' of 're.Match' objects}
    15427    0.003    0.000    0.003    0.000 {method 'lower' of 'str' objects}
    15283    0.005    0.000    0.005    0.000 {method 'group' of 're.Match' objects}
    14843    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
    11979    0.005    0.000    0.008    0.000 _markupbase.py:44(updatepos)
    11296    0.003    0.000    0.005    0.000 _parser.py:261(get)
    11188    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
     9994    0.001    0.000    0.001    0.000 element.py:1586(__bool__)
     8999    0.005    0.000    0.005    0.000 {method 'search' of 're.Pattern' objects}
     8935    0.002    0.000    0.002    0.000 {built-in method builtins.min}
     8587    0.004    0.000    0.004    0.000 {method 'count' of 'str' objects}
     8562    0.002    0.000    0.002    0.000 _parser.py:256(match)
     8414    0.007    0.000    0.007    0.000 element.py:156(setup)
     7969    0.001    0.000    0.002    0.000 _parser.py:164(__len__)
     7265    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     7059    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     6606    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     6411    0.001    0.000    0.006    0.000 __init__.py:122(unescape)
     6236    0.008    0.000    0.027    0.000 __init__.py:586(endData)
     6123    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
     6076    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     6059    0.001    0.000    0.005    0.000 {built-in method builtins.next}
     5984    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     5740    0.001    0.000    0.001    0.000 element.py:2062(descendants)
     5730    0.003    0.000    0.018    0.000 element.py:2303(search)
     5112    0.002    0.000    0.003    0.000 _parser.py:176(append)
     4034    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
     3976    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
     3873    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
     3873    0.001    0.000    0.001    0.000 <frozen abc>:117(__instancecheck__)
3745/3650    0.005    0.000    0.006    0.000 {built-in method __new__ of type object at 0xa43b40}
     3673    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
 3462/174    0.009    0.000    0.022    0.000 _compiler.py:37(_compile)
 3458/344    0.003    0.000    0.005    0.000 _parser.py:178(getwidth)
     3162    0.001    0.000    0.001    0.000 _parser.py:293(tell)
     3088    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
     3010    0.004    0.000    0.012    0.000 element.py:2240(search_tag)
     2998    0.006    0.000    0.025    0.000 element.py:1199(__init__)
     2998    0.004    0.000    0.005    0.000 __init__.py:572(pushTag)
     2998    0.001    0.000    0.001    0.000 __init__.py:205(can_be_empty_element)
     2998    0.000    0.000    0.001    0.000 __init__.py:453(set_up_substitutions)
     2997    0.007    0.000    0.060    0.000 _htmlparser.py:105(handle_starttag)
